年月日,開盤價(元),收盤價(元),成交量(千股)
2015/01/05,66.4,66.55,6295 
2015/01/06,65.75,64.9,19501 
2015/01/07,64.7,65,6991 
2015/01/08,65.5,66.5,13153 
2015/01/09,66.9,66.15,5891 
2015/01/12,65.8,65.75,9060 
2015/01/13,65.6,65.95,6151 
2015/01/14,66,65.6,7205 
2015/01/15,65.65,65.8,3525 
2015/01/16,66.25,65.5,9317 
2015/01/19,66.3,66.25,17591 
2015/01/20,66.5,66.75,10097 
2015/01/21,67.2,67.25,17556 
2015/01/22,67.5,67.6,16125 
2015/01/23,68.25,68.7,35859 
2015/01/26,68.55,68.7,20460 
2015/01/27,69,69.15,36217 
2015/01/28,68.8,69.15,35993 
2015/01/29,69.05,68.3,19790 
2015/01/30,68.6,68,4264 
2015/02/02,68.2,68.15,5810 
2015/02/03,68.35,68.65,16645 
2015/02/04,69.2,69.4,20357 
2015/02/05,69.05,69.1,4783 
2015/02/06,69.1,68.75,4107 
2015/02/09,68.75,68.5,3512 
2015/02/10,68.45,68.25,8023 
2015/02/11,68.7,69,7199 
2015/02/12,69,69,9310 
2015/02/13,69.35,69.45,7599 
2015/02/24,69.95,70.25,14549 
2015/02/25,70.7,70.8,23253 
2015/02/26,70.55,70.3,8688 
2015/03/02,70.3,70,6589 
2015/03/03,70.05,69.9,5067 
2015/03/04,69.55,69.95,6414 
2015/03/05,69.95,69.7,3761 
2015/03/06,69.55,69.8,3067 
2015/03/09,69.45,69.1,7464 
2015/03/10,69,68.95,6958 
2015/03/11,68.35,69.05,10039 
2015/03/12,68.85,69.65,5710 
2015/03/13,69.65,69.45,4527 
2015/03/16,69.35,68.9,6079 
2015/03/17,69.2,69.15,7096 
2015/03/18,69.2,69.9,18621 
2015/03/19,70.5,70.65,12488 
2015/03/20,70.65,70.55,4499 
2015/03/23,70.55,70.75,7600 
2015/03/24,70.55,70.5,4504 
2015/03/25,70.5,70.25,4458 
2015/03/26,69.4,69.4,9508 
2015/03/27,69.4,68.75,10014 
2015/03/30,68.75,68.8,10353 
2015/03/31,69,69.05,7643 
2015/04/01,68.7,68.65,8234 
2015/04/02,68.9,69.5,7800 
2015/04/07,69.55,69.6,3447 
2015/04/08,69.6,69,5069 
2015/04/09,69,69.1,6205 
2015/04/10,69.7,69.65,4600 
2015/04/13,69.9,69.85,4199 
2015/04/14,69.85,69.5,4562 
2015/04/15,69.25,68.65,17266 
2015/04/16,68.95,69.7,15774 
2015/04/17,69.55,69.05,9237 
2015/04/20,68.7,68.95,9571 
2015/04/21,69.05,68.95,2864 
2015/04/22,69.3,69.65,11311 
2015/04/23,70.2,71.5,24334 
2015/04/24,71.7,72.2,26527 
2015/04/27,73,72.75,13281 
2015/04/28,72.85,72.6,16465 
2015/04/29,72.5,71.8,10074 
2015/04/30,71.6,71.45,6780 
2015/05/04,71.45,71.6,5381 
2015/05/05,71.4,71.2,6801 
2015/05/06,70.8,71.3,6603 
2015/05/07,70.8,70.45,10204 
2015/05/08,70.45,70.5,5647 
2015/05/11,71,70.85,11222 
2015/05/12,70.6,70.7,9064 
2015/05/13,70.7,71.1,6874 
2015/05/14,70.85,70.1,16520 
2015/05/15,70.3,70,11642 
2015/05/18,70.05,70.25,3248 
2015/05/19,70.4,71.3,8458 
2015/05/20,71.25,70.8,7530 
2015/05/21,70.15,70.15,11567 
2015/05/22,70.2,70.7,6152 
2015/05/25,70.45,70.7,2391 
2015/05/26,71.2,71,7521 
2015/05/27,70.85,71.15,5812 
2015/05/28,71.75,71.5,5790 
2015/05/29,71.7,71.1,4900 
2015/06/01,71.1,70.5,7850 
2015/06/02,70.45,70.4,4867 
2015/06/03,70.3,69.95,6558 
2015/06/04,69.8,68.6,28182 
2015/06/05,68.5,68.45,15106 
2015/06/08,68.3,68.9,9094 
2015/06/09,68.5,68.35,18429 
2015/06/10,68.55,68.65,8666 
2015/06/11,68.8,68.85,7352 
2015/06/12,68.9,68.8,3175 
2015/06/15,68.8,68.65,3761 
2015/06/16,68.65,68.2,8681 
2015/06/17,68.2,68.5,5564 
2015/06/18,68.45,68.4,10688 
2015/06/22,68.75,69.35,11310 
2015/06/23,69.55,69.55,5311 
2015/06/24,69.6,69.65,6127 
2015/06/25,70,70.45,13815 
2015/06/26,70.45,70.45,4926 
2015/06/29,69.35,68.8,11576 
2015/06/30,68.8,69.4,4093 
2015/07/01,69.4,70.05,6063 
2015/07/02,70.2,70.1,4340 
2015/07/03,70,70.1,7762 
2015/07/06,69.55,69.3,7584 
2015/07/07,69.65,69.6,4706 
2015/07/08,69.2,67.5,37899 
2015/07/09,66.8,67.1,33083 
2015/07/13,68,68.1,15806 
2015/07/14,68.3,68.1,9618 
2015/07/15,68.3,68.25,8865 
2015/07/16,68.6,68.6,6939 
2015/07/17,68.35,68.5,3432 
2015/07/20,69,68,7832 
2015/07/21,68.35,68.65,3363 
2015/07/22,68.2,67.8,14139 
2015/07/23,67.5,67.15,20981 
2015/07/24,67.05,66.75,19922 
2015/07/27,66.4,65.8,28446 
2015/07/28,65.75,65.85,17518 
2015/07/29,65.9,65.4,18492 
2015/07/30,65.6,66.5,7473 
2015/07/31,66.5,66.15,11169 
2015/08/03,65.9,65.25,15758 
2015/08/04,65.5,65.3,12310 
2015/08/05,65.55,65.7,9875 
2015/08/06,66,65,23620 
2015/08/07,64.5,64.7,6898 
2015/08/10,64.6,64.55,10082 
2015/08/11,65.3,64.55,17411 
2015/08/12,64.25,63.45,24218 
2015/08/13,63.45,63.55,16147 
2015/08/14,63.45,63.3,8405 
2015/08/17,63.3,62.9,13852 
2015/08/18,63,62.55,9841 
2015/08/19,62.4,61.6,17595 
2015/08/20,61.25,61.4,19329 
2015/08/21,60.6,59.8,28076 
2015/08/24,59.1,57.5,61317 
2015/08/25,57.5,60,43487 
2015/08/26,59.3,60.35,17123 
2015/08/27,60.6,60.15,18326 
2015/08/28,61,61.8,18684 
2015/08/31,61.3,62.3,18957 
2015/09/01,61.9,61.75,12340 
2015/09/02,61.1,62.1,18170 
2015/09/03,62.35,62.15,7543 
2015/09/04,62.15,61.35,15808 
2015/09/07,61.3,61.25,10155 
2015/09/08,61.5,61.45,9642 
2015/09/09,62.65,64.15,24002 
2015/09/10,63.8,63.45,10184 
2015/09/11,63.3,63.5,7961 
2015/09/14,63.9,63.65,4389 
2015/09/15,63.75,63.15,5767 
2015/09/16,63.65,63.9,7422 
2015/09/17,64.5,65,12909 
2015/09/18,65,64.85,3507 
2015/09/21,64.05,63.45,9987 
2015/09/22,63.55,63.8,4330 
2015/09/23,63.2,62.35,10045 
2015/09/24,62.55,62,7364 
2015/09/25,62.15,62.25,5982 
2015/09/30,61.45,62.4,8574 
2015/10/01,62.6,63.6,11986 
2015/10/02,63.35,63.25,7571 
2015/10/05,63.8,63.4,5383 
2015/10/06,64.15,63.9,8300 
2015/10/07,63.9,64.85,8637 
2015/10/08,65.1,64.7,12360 
2015/10/12,65.05,65.55,17465 
2015/10/13,65.6,65.3,7489 
2015/10/14,65.3,65.05,7135 
2015/10/15,65.65,66,14357 
2015/10/16,65.95,65.75,8189 
2015/10/19,66,65.95,7411 
2015/10/20,66,65.95,4526 
2015/10/21,66.1,65.5,11498 
2015/10/22,65.3,65.5,8066 
2015/10/23,66.2,65.9,20687 
2015/10/26,64.5,64.55,12082 
2015/10/27,64.5,64.2,5723 
2015/10/28,64.2,63.75,5075 
2015/10/29,64.1,63.3,8413 
2015/10/30,63.3,63.2,5991 
2015/11/02,63.1,63.3,4831 
2015/11/03,63.8,64.3,9293 
2015/11/04,64.75,65.55,16551 
2015/11/05,65.65,65.4,5902 
2015/11/06,65.4,64.1,11915 
2015/11/09,64,63.65,5532 
2015/11/10,63.3,62.9,8847 
2015/11/11,62.9,62.15,16293 
2015/11/12,62.2,62.25,14213 
2015/11/13,61.8,61.6,20384 
2015/11/16,61.2,61.15,13429 
2015/11/17,62,62.35,8728 
2015/11/18,62.35,61.4,14981 
2015/11/19,61.95,62.3,10131 
2015/11/20,62.35,62.3,5421 
2015/11/23,62.6,62.6,3462 
2015/11/24,62.5,61.95,6598 
2015/11/25,61.85,61.95,5964 
2015/11/26,62.3,62.8,8642 
2015/11/27,62.9,61.95,6290 
2015/11/30,60.9,61.2,23268 
2015/12/01,61.7,62.4,8409 
2015/12/02,62.45,62.3,6361 
2015/12/03,61.9,62.4,6065 
2015/12/04,61.95,61.75,15048 
2015/12/07,62.2,62.5,14814 
2015/12/08,62.25,61.5,9200 
2015/12/09,61.2,60.75,16089 
2015/12/10,60.4,60.55,16616 
2015/12/11,60.55,59.85,13835 
2015/12/14,59.25,59.4,9528 
2015/12/15,59.7,59.45,6796 
2015/12/16,60,60.35,6530 
2015/12/17,60.55,61.05,7609 
2015/12/18,60.85,60.75,4893 
2015/12/21,60.05,60.65,4340 
2015/12/22,60.7,60.8,5138 
2015/12/23,60.95,60.9,7263 
2015/12/24,61.35,61.2,8456 
2015/12/25,61.2,61.6,6546 
2015/12/28,61.7,61.45,3449 
2015/12/29,61.4,61,3966 
2015/12/30,61.15,60.55,7262 
2015/12/31,60.55,60.75,3894 
2016/01/04,60.8,59.55,16928 
2016/01/05,59.5,59.05,21783 
2016/01/06,59.05,58.45,28939 
2016/01/07,58.3,57.35,39962 
2016/01/08,57,57.45,25450 
2016/01/11,56.9,56.55,24356 
2016/01/12,56.8,56.5,17649 
2016/01/13,57,57.15,11848 
2016/01/14,56.5,56.7,15487 
2016/01/15,57.1,56.7,20847 
2016/01/18,55.9,57.1,13014 
2016/01/19,57,57.25,8110 
2016/01/20,56.85,55.9,22688 
2016/01/21,56.1,55.8,10450 
2016/01/22,56.35,56.55,13943 
2016/01/25,57,57.55,12773 
2016/01/26,57,57,7583 
2016/01/27,57.4,57.25,9101 
2016/01/28,57.15,57.55,10224 
2016/01/29,57.5,59,20207 
2016/01/30,59.45,59.55,13202 
2016/02/01,59.5,59.55,7967 
2016/02/02,59.45,59.35,4584 
2016/02/03,59,58.95,6990 
2016/02/15,58.3,59,7221 
2016/02/16,59.1,60.25,17822 
2016/02/17,60.4,59.95,12473 
2016/02/18,60.8,60.9,16986 
2016/02/19,60.8,60.85,11352 
2016/02/22,60.85,60.8,11614 
2016/02/23,61,60.85,4916 
2016/02/24,60.8,60.3,7764 
2016/02/25,60.6,61.1,16933 
2016/02/26,61.35,61.25,14513 
2016/03/01,61.25,61.85,17236 
2016/03/02,62.35,62.35,22870 
2016/03/03,62.35,62.95,32602 
2016/03/04,62.9,63.1,24050 
2016/03/07,63.2,63.1,21497 
2016/03/08,63,63.05,13634 
2016/03/09,63.05,63.1,8097 
2016/03/10,63.05,63.25,21352 
2016/03/11,63.2,63.55,22682 
2016/03/14,64,64,25831 
2016/03/15,64,63.05,18905 
2016/03/16,63.35,63.6,36277 
2016/03/17,64.55,64.3,20031 
2016/03/18,64.4,64.7,31120 
2016/03/21,64.9,64.6,6056 
2016/03/22,64.35,64.4,8180 
2016/03/23,64.4,64.35,11996 
2016/03/24,64.25,64.35,8530 
2016/03/25,64.5,64.05,3814 
2016/03/28,64.05,64.1,7346 
2016/03/29,64,63.65,10741 
2016/03/30,64.05,64.7,29118 
2016/03/31,65.1,64.65,16046 
2016/04/01,64.25,63.9,4654 
2016/04/06,63.3,62.4,8957 
2016/04/07,62.5,62.15,20224 
2016/04/08,61.8,62.75,6752 
2016/04/11,62.5,63,5355 
2016/04/12,63.05,62.95,2753 
2016/04/13,63.25,64.05,11846 
2016/04/14,64.4,64.25,8125 
2016/04/15,63.8,64.25,11673 
2016/04/18,64.05,63.85,2145 
2016/04/19,64.3,63.6,5841 
2016/04/20,63.5,62.65,8981 
2016/04/21,62.9,62.95,3097 
2016/04/22,62.95,63.2,2685 
2016/04/25,63.2,63.25,2864 
2016/04/26,63.1,63.5,4894 
2016/04/27,63.2,63.4,2470 
2016/04/28,63.5,62.4,10321 
2016/04/29,61.85,61.6,7266 
2016/05/03,61.6,60.75,9711 
2016/05/04,60.75,60.1,14504 
2016/05/05,60.1,60.2,14591 
2016/05/06,60,59.7,22004 
2016/05/09,59.9,59.7,14499 
2016/05/10,59.7,60,13152 
2016/05/11,60.2,59.85,19053 
2016/05/12,59.7,59.8,13397 
2016/05/13,59.55,59.15,29668 
2016/05/16,59.15,59.6,6645 
2016/05/17,59.65,60.05,12344 
2016/05/18,59.7,59.95,8579 
2016/05/19,60,59.65,8050 
2016/05/20,59.85,60,8126 
2016/05/23,60.1,62,21664 
2016/05/24,61.75,61.35,6417 
2016/05/25,61.75,62,25858 
2016/05/26,62.05,62.15,26044 
2016/05/27,62.4,62.6,25759 
2016/05/30,62.6,63.15,26912 
2016/05/31,63.05,63.15,8678 
2016/06/01,62.95,63.7,25001 
2016/06/02,63.7,63.7,13721 
2016/06/03,63.6,63.85,11793 
2016/06/04,63.75,63.95,3201 
2016/06/06,64,64.05,12991 
2016/06/07,64.3,64.9,30837 
2016/06/08,65,65.25,26064 
2016/06/13,64.3,63.75,9520 
2016/06/14,63.5,64.15,6411 
2016/06/15,64.15,64.25,22583 
2016/06/16,64.1,63.35,8999 
2016/06/17,63.85,64.05,5808 
2016/06/20,64.5,64.5,10307 
2016/06/21,64.5,64.75,18113 
2016/06/22,64.75,64.95,10556 
2016/06/23,64.8,64.8,32188 
2016/06/24,64.75,63.1,31665 
2016/06/27,63.2,63.75,4931 
2016/06/28,63.1,64,5345 
2016/06/29,64.15,64.7,9101 
2016/06/30,65.15,65.45,25345 
2016/07/01,65.85,66.25,30668 
2016/07/04,66.1,66.3,9989 
2016/07/05,66.2,66.1,5997 
2016/07/06,65.6,64.9,8730 
2016/07/07,65.45,65.7,6587 
2016/07/11,66.7,67,22208 
2016/07/12,67.15,67.6,15397 
2016/07/13,67.85,67.65,9434 
2016/07/14,67.5,67.7,10109 
2016/07/15,67.8,68.5,15543 
2016/07/18,68.45,69.15,36847 
2016/07/19,69.2,69.25,17045 
2016/07/20,69,69.2,24718 
2016/07/21,69.45,69.55,9980 
2016/07/22,69.55,69.3,3265 
2016/07/25,69.5,69,11676 
2016/07/26,69,69.4,13212 
2016/07/27,69.65,69.7,11118 
2016/07/28,69,69.05,11452 
2016/07/29,68.85,68.55,19390 
2016/08/01,68.8,69.3,10407 
2016/08/02,69.25,69.3,7116 
2016/08/03,68.5,68.75,13801 
2016/08/04,68.85,68.9,10674 
2016/08/05,69.1,69.6,12422 
2016/08/08,70,70.05,7902 
2016/08/09,70,70.4,11568 
2016/08/10,70.3,70.6,6497 
2016/08/11,70.2,69.95,10903 
2016/08/12,70.15,70.2,5258 
2016/08/15,70.2,70.35,4797 
2016/08/16,70.3,69.95,4431 
2016/08/17,69.9,70.05,8925 
2016/08/18,70,69.9,3275 
2016/08/19,69.9,69.2,8299 
2016/08/22,69,68.7,7083 
2016/08/23,68.9,69.4,7084 
2016/08/24,69.35,69.2,5071 
2016/08/25,69.3,70,8022 
2016/08/26,69.95,70.1,2991 
2016/08/29,69.9,70.05,3554 
2016/08/30,70,70,3791 
2016/08/31,69.85,69.4,5206 
2016/09/01,69.3,69.05,5965 
2016/09/02,69.1,69.15,2615 
2016/09/05,69.8,70.3,8523 
2016/09/06,70.25,70.85,7342 
2016/09/07,70.95,71.85,9686 
2016/09/08,71.8,71.6,4674 
2016/09/09,70.9,70.4,5230 
2016/09/10,69.15,69.4,8825 
2016/09/12,69.35,68.85,7236 
2016/09/13,69.1,68.85,7123 
2016/09/14,68.5,68.45,5624 
2016/09/19,69.4,71,9887 
2016/09/20,70.9,70.9,2795 
2016/09/21,70.75,71.25,12156 
2016/09/22,71.9,71.4,4929 
2016/09/23,71.5,71.9,4215 
2016/09/26,71.5,71,3736 
2016/09/29,71.85,71.9,9624 
2016/09/30,71.15,70.95,5843 
2016/10/03,71.2,71.45,3888 
2016/10/04,71.45,71.75,5169 
2016/10/05,71.6,71.5,2838 
2016/10/06,71.7,71.7,2071 
2016/10/07,71.6,71.65,3053 
2016/10/11,72.35,71.45,6945 
2016/10/12,71.5,72.25,6057 
2016/10/13,72.2,71.7,5454 
2016/10/14,71.3,71.45,3633 
2016/10/17,71.45,71.45,4422 
2016/10/18,71.5,71.95,3619 
2016/10/19,72,72.35,21575 
2016/10/20,72.35,72.65,4836 
2016/10/21,72.65,72.6,4234 
2016/10/24,72.85,72.7,3265 
2016/10/25,72.85,73.4,3715 
2016/10/26,73,73,2868 
2016/10/27,73,72.6,3170 
2016/10/28,72.6,72.6,4275 
2016/10/31,72.25,72.6,5464 
2016/11/01,72.25,72.6,2024 
2016/11/02,71.95,71.75,5502 
2016/11/03,71.45,71.2,4554 
2016/11/04,71,71,4346 
2016/11/07,71.8,72,3235 
2016/11/08,72.15,72.35,2694 
2016/11/09,72.85,70,19936 
2016/11/10,71.8,72,6699 
2016/11/11,70.35,70.05,8375 
2016/11/14,69.95,70.1,7117 
2016/11/15,69.8,69.9,4015 
2016/11/16,70.2,70,24749 
2016/11/17,70,70.2,3313 
2016/11/18,70.1,70.4,2119 
2016/11/21,70.3,70.5,2649 
2016/11/22,70.75,71.45,5293 
2016/11/23,71.5,71.8,1907 
2016/11/24,71.6,71.4,2303 
2016/11/25,71.35,71.35,2649 
2016/11/28,71.35,71.75,2646 
2016/11/29,71.9,71.65,1417 
2016/11/30,71.7,71.7,1918 
2016/12/01,71.6,72,1955 
2016/12/02,71.2,71.2,3307 
2016/12/05,71.2,71.1,1388 
2016/12/06,71.8,72,2435 
2016/12/07,72.2,72,1467 
2016/12/08,72.3,72.9,6085 
2016/12/09,73.05,73.15,5418 
2016/12/12,73.3,72.85,3208 
2016/12/13,72.85,72.95,2548 
2016/12/14,73.2,73.1,2827 
2016/12/15,72.55,73,3017 
2016/12/16,72.8,72.3,2148 
2016/12/19,72.25,71.85,2680 
2016/12/20,71.95,71.75,2029 
2016/12/21,71.75,71.7,9321 
2016/12/22,71.55,70.8,4971 
2016/12/23,70.6,70.55,5125 
2016/12/26,70.65,70.8,2104 
2016/12/27,70.8,70.75,2494 
2016/12/28,70.85,71.6,3686 
2016/12/29,71.45,71.25,1911 
2016/12/30,71.65,71.8,2726 
2017/01/03,71.7,71.9,2331 
2017/01/04,72,71.85,4284 
2017/01/05,71.85,72.5,4573 
2017/01/06,72.45,72.65,3752 
2017/01/09,72.75,72.45,5038 
2017/01/10,72.45,72.4,1857 
2017/01/11,72.8,72.4,1898 
2017/01/12,72.6,73.15,4857 
2017/01/13,72.8,72.6,3909 
2017/01/16,72.4,72,2418 
2017/01/17,72,72.3,1572 
2017/01/18,72.2,72.15,3837 
2017/01/19,71.85,71.95,4065 
2017/01/20,71.95,72.15,2422 
2017/01/23,72.55,72.75,5965 
2017/01/24,73,73.3,4575 
2017/02/02,73.5,72.9,6999 
2017/02/03,72.95,72.85,2809 
2017/02/06,73,73.25,2947 
2017/02/07,73.1,73.3,4305 
2017/02/08,71.9,71.75,4433 
2017/02/09,71.75,72,3548 
2017/02/10,72.1,72.8,4869 
2017/02/13,72.8,72.95,3330 
2017/02/14,73.4,73.2,6071 
2017/02/15,73.3,73.9,9407 
2017/02/16,74,73.45,5466 
2017/02/17,73.65,73.35,5192 
2017/02/18,73.3,73.5,3227 
2017/02/20,73.55,73.1,2802 
2017/02/21,73.2,73.25,3337 
2017/02/22,73.6,73.3,2938 
2017/02/23,73.25,73.1,2332 
2017/02/24,73.05,73.15,1844 
2017/03/01,73.1,72.35,3107 
2017/03/02,72.95,72.55,7057 
2017/03/03,72.3,72.1,4410 
2017/03/06,72.05,72.15,2177 
2017/03/07,72.25,72.45,2027 
2017/03/08,72.65,72.85,2182 
2017/03/09,72.6,72.05,3381 
2017/03/10,71.95,72,5423 
2017/03/13,72.15,72.5,2515 
2017/03/14,72.6,73,3948 
2017/03/15,72.8,72.85,3490 
2017/03/16,73.3,73.8,7545 
2017/03/17,73.85,74,5265 
2017/03/20,73.95,73.95,5073 
2017/03/21,74.3,74.9,8511 
2017/03/22,74.25,74.2,4939 
2017/03/23,74.6,74.35,4105 
2017/03/24,74.35,74.25,3308 
2017/03/27,74,74.2,2474 
2017/03/28,74.55,74.25,5565 
2017/03/29,74.45,74,2464 
2017/03/30,74,73.9,2181 
2017/03/31,73.95,73.7,2008 
2017/04/05,73.95,74.65,3594 
2017/04/06,74.8,74.4,2811 
2017/04/07,74.3,74.1,1889 
2017/04/10,74.1,74.2,1060 
2017/04/11,74.1,73.9,1266 
2017/04/12,73.9,74.05,1940 
2017/04/13,73.9,74.4,6004 
2017/04/14,73.9,73.55,2674 
2017/04/17,73.55,73.6,5339 
2017/04/18,73.85,73.6,4099 
2017/04/19,73.1,72.8,9185 
2017/04/20,72.55,72.8,3142 
2017/04/21,73.25,73.5,3247 
2017/04/24,73.9,73.65,4309 
2017/04/25,73.85,74.35,5698 
2017/04/26,74.7,74.55,4117 
2017/04/27,74.35,74.5,3685 
2017/04/28,74.5,74.55,4423 
2017/05/02,75,75.2,15728 
2017/05/03,75.3,75.55,4711 
2017/05/04,75.55,75.65,3996 
2017/05/05,75.45,75.15,5287 
2017/05/08,75.55,75.7,4083 
2017/05/09,75.7,75.95,4190 
2017/05/10,76.15,76.25,1763 
2017/05/11,76.1,76.5,2018 
2017/05/12,76.25,76.3,2810 
2017/05/15,76.3,76.5,1285 
2017/05/16,76.5,76.5,1598 
2017/05/17,76.3,76.3,1331 
2017/05/18,75.65,75.9,4271 
2017/05/19,75.65,75.85,1162 
2017/05/22,75.95,76.05,2576 
2017/05/23,76.05,76.35,3844 
2017/05/24,76.35,76.3,2886 
2017/05/25,76.7,77,4681 
2017/05/26,77,76.95,4018 
2017/05/31,76.95,76.5,2701 
2017/06/01,76.5,76.9,2221 
2017/06/02,77.3,77.2,3540 
2017/06/03,77.25,77.4,2052 
2017/06/05,77.35,78,3281 
2017/06/06,77.95,77.95,1203 
2017/06/07,77.9,77.95,1844 
2017/06/08,77.95,78.25,1886 
2017/06/09,78.05,78,3010 
2017/06/12,77.15,77.15,3300 
2017/06/13,77.15,77.25,1615 
2017/06/14,77.4,76.85,3380 
2017/06/15,76.8,76.9,1507 
2017/06/16,76.9,77.7,4233 
2017/06/19,77.7,78.55,5144 
2017/06/20,78.6,79.45,4046 
2017/06/21,79.2,79.55,13612 
2017/06/22,79.6,79.75,6112 
2017/06/23,79.75,79.7,8517 
2017/06/26,79.8,81.4,14254 
2017/06/27,81.4,81.3,3026 
2017/06/28,80.9,80.55,6286 
2017/06/29,81,80.65,1427 
2017/06/30,80.1,80.4,3070 
2017/07/03,80.4,80.45,1551 
2017/07/04,80.45,80,1237 
2017/07/05,80.1,80.75,2274 
2017/07/06,80.75,80.4,2492 
2017/07/07,80.25,79.95,3569 
